packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3041,2026-04-18T10:19:24.026,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3042,2026-04-18T10:19:24.093,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3043,2026-04-18T10:19:24.200,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3044,2026-04-18T10:19:24.302,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3045,2026-04-18T10:19:24.413,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3046,2026-04-18T10:19:24.506,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3047,2026-04-18T10:19:24.614,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3048,2026-04-18T10:19:24.726,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3049,2026-04-18T10:19:24.830,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3050,2026-04-18T10:19:24.888,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [ACK]
3051,2026-04-18T10:19:24.961,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3052,2026-04-18T10:19:25.017,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3053,2026-04-18T10:19:25.083,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3054,2026-04-18T10:19:25.186,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3055,2026-04-18T10:19:25.280,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3056,2026-04-18T10:19:25.374,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [ACK]
3057,2026-04-18T10:19:25.462,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,FIN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [FIN|ACK]
